ModuleCode,Gender,value,DEPARTMENT
GAV4003-N,M,39,GAV
GAV4017-N,M,147,GAV
GAV4018-N,M,53,GAV
GAV4020-N,M,38,GAV
GAV4028-N,M,52,GAV
GAV4033-N,M,18,GAV
GAV4034-N,M,18,GAV
GAV4037-N,M,37,GAV
GAV4038-N,M,36,GAV
MED0008-N,M,49,MED
MED3007-N,M,26,MED
MED3020-N,M,14,MED
MED3030-N,M,41,MED
MED3036-N,M,16,MED
MED3040-N,M,46,MED
MED3047-N,M,26,MED
MED3050-N,M,46,MED
MED3051-N,M,46,MED
MED3055-N,M,32,MED
MUL3051-N,M,35,MUL
MUL3055-N,M,14,MUL
MUL3059-N,M,9,MUL
MUL3060-N,M,9,MUL
MUL3061-N,M,9,MUL
MUL3062-N,M,9,MUL
MUL3063-N,M,4,MUL
MUL3064-N,M,4,MUL
MUL3065-N,M,4,MUL
PER3008-N,M,20,PER
PER3012-N,M,4,PER
PER3018-N,M,24,PER
PER3025-N,M,4,PER
PER3028-N,M,20,PER
VIS3102-N,M,53,VIS
VIS3103-N,M,7,VIS
VIS3104-N,M,65,VIS
VIS3105-N,M,17,VIS
VIS3108-N,M,53,VIS
VIS3109-N,M,53,VIS
VIS3110-N,M,73,VIS
VIS3126-N,M,12,VIS
VIS4059-N,M,6,VIS
VIS4060-N,M,6,VIS
VIS4068-N,M,1,VIS
VIS4073-N,M,6,VIS
